20160112_174016;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4
63617045;1.601;2.429;1.415;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617055;1.589;2.413;1.454;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617065;1.589;2.417;1.446;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617075;1.573;2.507;1.489;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617085;1.637;2.660;1.544;0.000;31.1;31.1;31.1;31.1;12.53;12.48;12.38;0.00
63617095;1.587;2.472;1.482;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617105;1.622;2.562;1.482;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617115;1.618;2.554;1.537;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617125;1.854;3.159;1.776;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617135;1.638;2.577;1.537;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617145;1.839;3.022;1.740;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617155;1.634;2.597;1.494;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617165;1.622;2.480;1.478;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617175;1.539;2.323;1.381;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617185;1.720;2.683;1.545;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63617195;1.621;2.618;1.541;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617205;1.889;3.134;1.764;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617215;1.538;2.466;1.459;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617225;1.589;2.505;1.478;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617235;1.664;2.669;1.560;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617245;1.577;2.454;1.470;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617255;1.704;2.771;1.596;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617265;1.775;2.865;1.674;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617275;1.625;2.544;1.490;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617285;1.597;2.450;1.431;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.45;0.00
63617295;1.485;2.186;1.341;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617305;1.481;2.276;1.419;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617315;1.702;2.844;1.639;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617325;1.801;2.989;1.713;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617335;1.813;3.064;1.733;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617345;1.616;2.637;1.549;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617355;1.596;2.488;1.490;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617365;1.647;2.625;1.545;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617375;1.853;3.087;1.776;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617385;1.623;2.547;1.494;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.48;0.00
63617395;1.845;3.022;1.684;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617405;1.566;2.370;1.454;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617415;1.538;2.265;1.376;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617425;1.475;2.296;1.415;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617435;1.806;2.952;1.696;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617445;1.648;2.710;1.590;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617455;1.688;2.753;1.567;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617465;1.566;2.468;1.458;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617475;1.613;2.546;1.508;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617485;1.680;2.730;1.571;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.41;0.00
63617495;1.597;2.487;1.476;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617505;1.715;2.772;1.624;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617515;1.735;2.726;1.546;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617525;1.546;2.335;1.417;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617535;1.507;2.249;1.390;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617545;1.491;2.382;1.425;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617555;1.794;2.936;1.679;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617565;1.715;2.866;1.632;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617575;1.656;2.585;1.495;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617585;1.632;2.667;1.538;0.000;31.1;31.1;31.1;31.1;12.50;12.44;12.43;0.00
63617595;1.638;2.662;1.540;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.47;0.00
63617605;1.610;2.552;1.532;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.47;0.00
63617615;1.823;3.034;1.704;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.47;0.00
63617625;2.071;3.601;1.951;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.47;0.00
63617635;1.587;2.427;1.430;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.47;0.00
