20160112_175753;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
64673253;1.762;2.891;1.626;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
64673263;1.770;2.815;1.660;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673273;1.511;2.230;1.349;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673283;1.507;2.292;1.438;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673293;1.566;2.600;1.536;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673303;1.605;2.585;1.505;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673313;1.762;2.955;1.711;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673323;1.754;2.760;1.633;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673333;1.625;2.592;1.536;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673343;1.613;2.553;1.524;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673353;1.864;3.115;1.742;0.000;31.1;31.1;31.1;31.1;12.47;12.42;12.41;0.00;
64673363;1.543;2.446;1.460;0.000;31.1;31.1;31.1;31.1;12.48;12.41;12.40;0.00;
64673373;2.089;3.525;1.885;0.000;31.1;31.1;31.1;31.1;12.48;12.41;12.40;0.00;
64673383;1.708;2.656;1.523;0.000;31.1;31.1;31.1;31.1;12.48;12.41;12.40;0.00;
64673393;1.488;2.232;1.371;0.000;31.1;31.1;31.1;31.1;12.48;12.41;12.40;0.00;
64673403;1.504;2.337;1.449;0.000;31.1;31.1;31.1;31.1;12.48;12.41;12.40;0.00;
64673413;1.538;2.419;1.388;0.000;31.1;31.1;31.1;31.1;12.47;12.41;12.41;0.00;
64673423;1.605;2.586;1.544;0.000;31.1;31.1;31.1;31.1;12.47;12.41;12.41;0.00;
64673433;1.723;2.843;1.641;0.000;31.1;31.1;31.1;31.1;12.47;12.41;12.41;0.00;
64673443;1.558;2.434;1.450;0.000;31.1;31.1;31.1;31.1;12.47;12.41;12.41;0.00;
64673453;1.605;2.547;1.489;0.000;31.1;31.1;31.1;31.1;12.47;12.41;12.41;0.00;
64673463;1.581;2.501;1.473;0.000;31.1;31.1;31.1;31.1;12.47;12.41;12.41;0.00;
64673473;1.593;2.516;1.516;0.000;31.1;31.1;31.1;31.1;12.47;12.41;12.41;0.00;
64673483;1.719;2.781;1.598;0.000;31.1;31.1;31.1;31.1;12.47;12.41;12.41;0.00;
