20160112_175753;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
64673279;1.773;0.000;0.000;3.232;31.1;31.1;54.8;31.1;12.47;0.00;0.00;5.15;
64673289;1.770;0.000;0.000;3.242;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673299;1.786;0.000;0.000;3.229;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673309;1.774;0.000;0.000;3.229;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673319;1.759;0.000;0.000;3.232;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673329;1.774;0.000;0.000;3.225;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673339;1.755;0.000;0.000;3.225;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673349;1.770;0.000;0.000;3.226;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673359;1.759;0.000;0.000;3.234;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673369;1.763;0.000;0.000;3.229;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673379;1.767;0.000;0.000;3.228;31.1;31.1;55.0;31.1;12.48;0.00;0.00;5.15;
64673389;1.789;0.000;0.000;3.222;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673399;1.769;0.000;0.000;3.216;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673409;1.765;0.000;0.000;3.232;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673419;1.777;0.000;0.000;3.219;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673429;1.785;0.000;0.000;3.224;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673439;1.789;0.000;0.000;3.233;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673449;1.797;0.000;0.000;3.213;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673459;1.785;0.000;0.000;3.221;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673469;1.777;0.000;0.000;3.224;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673479;1.777;0.000;0.000;3.221;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
64673489;1.776;0.000;0.000;3.214;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673499;1.764;0.000;0.000;3.219;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673509;1.784;0.000;0.000;3.220;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673519;1.776;0.000;0.000;3.211;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673529;1.776;0.000;0.000;3.206;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673539;1.788;0.000;0.000;3.206;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673549;1.780;0.000;0.000;3.209;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673559;1.761;0.000;0.000;3.208;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673569;1.780;0.000;0.000;3.215;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673579;1.788;0.000;0.000;3.225;31.1;31.1;55.6;31.1;12.52;0.00;0.00;5.13;
64673589;1.764;0.000;0.000;3.224;31.1;31.1;65.3;31.1;12.52;0.00;0.00;5.14;
