20160122_161545;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
58544830;1.546;2.404;1.451;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544840;1.301;1.898;1.200;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544850;1.313;1.874;1.192;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544860;1.329;2.066;1.278;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544870;1.431;2.364;1.400;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544880;1.652;2.604;1.478;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544890;1.656;2.643;1.521;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544900;1.439;2.161;1.337;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544910;1.459;2.192;1.321;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544920;1.341;1.965;1.247;0.000;31.1;31.1;31.1;31.1;12.53;12.49;12.48;0.00;
58544930;1.330;1.948;1.250;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58544940;1.322;1.913;1.215;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58544950;1.326;1.909;1.215;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58544960;1.318;1.893;1.184;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58544970;1.298;1.850;1.204;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58544980;1.369;2.158;1.329;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58544990;1.420;2.244;1.360;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58545000;1.719;2.680;1.536;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58545010;1.428;2.146;1.309;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58545020;1.385;2.006;1.235;0.000;31.1;31.1;31.1;31.1;12.50;12.41;12.44;0.00;
58545030;1.343;1.995;1.220;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.37;0.00;
58545040;1.559;2.405;1.387;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.37;0.00;
58545050;1.366;1.968;1.200;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.37;0.00;
58545060;1.335;1.929;1.208;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.37;0.00;
58545070;1.315;1.890;1.197;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.37;0.00;
58545080;1.281;1.839;1.193;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545090;1.309;2.041;1.267;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545100;1.364;2.216;1.341;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545110;1.450;2.286;1.314;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545120;1.718;2.777;1.540;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545130;1.391;2.061;1.294;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545140;1.478;2.255;1.345;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545150;1.356;1.971;1.247;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545160;1.328;1.913;1.204;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545170;1.325;1.877;1.212;0.000;31.1;31.1;31.1;31.1;12.49;12.41;12.41;0.00;
58545180;1.324;1.899;1.202;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545190;1.304;1.860;1.194;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545200;1.300;1.884;1.202;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545210;1.304;2.083;1.260;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545220;1.415;2.310;1.362;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545230;1.568;2.447;1.425;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545240;1.576;2.427;1.390;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545250;1.379;2.067;1.241;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545260;1.383;2.021;1.241;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545270;1.560;2.400;1.421;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.46;0.00;
58545280;1.326;1.947;1.212;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.45;0.00;
58545290;1.330;1.912;1.208;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.45;0.00;
58545300;1.345;1.904;1.208;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.45;0.00;
58545310;1.302;1.884;1.189;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.45;0.00;
