20160122_161545;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
58544836;0.034;4.116;1.277;1.395;31.1;31.3;31.2;31.1;0.89;12.50;12.54;12.60;
58544846;0.034;4.041;1.241;1.355;31.1;31.3;31.2;31.1;0.89;12.50;12.54;12.60;
58544856;0.034;4.057;1.237;1.379;31.1;31.3;31.2;31.1;0.89;12.50;12.54;12.60;
58544866;0.034;4.073;1.261;1.454;31.1;31.3;31.2;31.1;0.89;12.50;12.54;12.60;
58544876;0.034;4.251;1.356;1.561;31.1;31.3;31.2;31.1;0.89;12.50;12.54;12.60;
58544886;0.038;5.140;1.797;1.931;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544896;0.038;4.291;1.342;1.502;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544906;0.038;4.418;1.429;1.581;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544916;0.038;4.184;1.298;1.450;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544926;0.038;4.169;1.283;1.426;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544936;0.038;4.149;1.283;1.430;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544946;0.038;4.125;1.251;1.418;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544956;0.038;4.121;1.247;1.386;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544966;0.038;4.081;1.251;1.398;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544976;0.038;4.077;1.231;1.375;31.1;31.3;31.2;31.1;0.94;12.56;12.56;12.63;
58544986;0.033;4.098;1.251;1.443;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58544996;0.034;4.451;1.477;1.642;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58545006;0.034;4.581;1.553;1.698;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58545016;0.034;4.273;1.358;1.519;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58545026;0.034;4.197;1.323;1.483;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58545036;0.034;4.688;1.537;1.674;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58545046;0.034;4.181;1.295;1.439;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58545056;0.034;4.162;1.303;1.451;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58545066;0.034;4.174;1.283;1.419;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58545076;0.034;4.114;1.259;1.404;31.1;31.3;31.2;31.1;0.89;12.54;12.60;12.64;
58545086;0.034;4.072;1.241;1.382;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545096;0.034;4.048;1.237;1.374;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545106;0.034;4.103;1.233;1.382;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545116;0.034;4.550;1.537;1.746;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545126;0.034;4.372;1.411;1.572;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545136;0.034;4.254;1.352;1.485;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545146;0.034;4.337;1.403;1.600;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545156;0.034;4.222;1.336;1.465;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545166;0.034;4.163;1.277;1.422;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545176;0.034;4.139;1.281;1.422;31.1;31.3;31.2;31.1;0.89;12.52;12.54;12.59;
58545186;0.034;4.105;1.266;1.403;31.1;31.3;31.2;31.1;0.89;12.56;12.59;12.60;
58545196;0.034;4.109;1.258;1.391;31.1;31.3;31.2;31.1;0.89;12.56;12.59;12.60;
58545206;0.034;4.157;1.258;1.419;31.1;31.3;31.2;31.1;0.89;12.56;12.59;12.60;
58545216;0.034;4.109;1.242;1.383;31.1;31.3;31.2;31.1;0.89;12.56;12.59;12.60;
58545226;0.034;4.053;1.218;1.375;31.1;31.3;31.2;31.1;0.89;12.56;12.59;12.60;
58545236;0.033;4.629;1.564;1.748;31.1;31.3;31.2;31.1;0.89;12.56;12.59;12.60;
58545246;0.034;4.200;1.333;1.514;31.1;31.3;31.2;31.1;0.89;12.56;12.59;12.60;
58545256;0.034;4.291;1.381;1.546;31.1;31.3;31.2;31.1;0.89;12.56;12.59;12.60;
58545266;0.034;4.688;1.560;1.692;31.1;31.3;31.2;31.1;0.89;12.56;12.59;12.60;
