20160121_135631;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
50191947;1.771;0.000;0.000;3.201;31.1;31.1;54.2;31.1;12.51;0.00;0.00;5.15;
50191957;1.767;0.000;0.000;3.198;31.1;31.1;54.2;31.1;12.51;0.00;0.00;5.15;
50191967;1.767;0.000;0.000;3.198;31.1;31.1;54.2;31.1;12.51;0.00;0.00;5.15;
50191977;1.771;0.000;0.000;3.191;31.1;31.1;54.2;31.1;12.51;0.00;0.00;5.15;
50191987;1.779;0.000;0.000;3.206;31.1;31.1;54.2;31.1;12.51;0.00;0.00;5.15;
50191997;1.744;0.000;0.000;3.185;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192007;1.768;0.000;0.000;3.188;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192017;1.744;0.000;0.000;3.187;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192027;1.768;0.000;0.000;3.620;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192037;1.768;0.000;0.000;4.114;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192047;1.748;0.000;0.000;4.086;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192057;1.776;0.000;0.000;4.095;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192067;1.764;0.000;0.000;4.106;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192077;1.768;0.000;0.000;4.082;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192087;1.752;0.000;0.000;4.112;31.1;31.1;54.7;31.1;12.49;0.00;0.00;5.14;
50192097;1.775;0.000;0.000;4.107;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192107;1.755;0.000;0.000;4.084;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192117;1.747;0.000;0.000;4.108;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192127;1.767;0.000;0.000;4.013;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192137;1.775;0.000;0.000;4.059;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192147;1.779;0.000;0.000;4.093;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192157;1.771;0.000;0.000;3.996;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192167;1.787;0.000;0.000;4.053;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192177;1.771;0.000;0.000;4.045;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192187;1.779;0.000;0.000;4.076;31.1;31.1;64.3;31.1;12.51;0.00;0.00;5.13;
50192197;1.769;0.000;0.000;4.067;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192207;1.765;0.000;0.000;4.055;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192217;1.765;0.000;0.000;4.076;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192227;1.769;0.000;0.000;4.019;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192237;1.745;0.000;0.000;4.089;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192247;1.741;0.000;0.000;4.079;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192257;1.753;0.000;0.000;4.025;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192267;1.761;0.000;0.000;4.081;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192277;1.753;0.000;0.000;4.058;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192287;1.761;0.000;0.000;4.073;31.1;31.1;64.1;31.1;12.47;0.00;0.00;5.15;
50192297;1.760;0.000;0.000;4.096;31.1;31.1;63.3;31.1;12.49;0.00;0.00;5.16;
50192307;1.776;0.000;0.000;4.077;31.1;31.1;63.3;31.1;12.49;0.00;0.00;5.16;
50192317;1.756;0.000;0.000;4.080;31.1;31.1;63.3;31.1;12.49;0.00;0.00;5.16;
50192327;1.760;0.000;0.000;4.046;31.1;31.1;63.3;31.1;12.49;0.00;0.00;5.16;
50192337;1.756;0.000;0.000;4.093;31.1;31.1;63.3;31.1;12.49;0.00;0.00;5.16;
50192347;1.754;0.000;0.000;4.074;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192357;1.754;0.000;0.000;4.029;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192367;1.773;0.000;0.000;4.080;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192377;1.777;0.000;0.000;4.044;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192387;1.742;0.000;0.000;4.054;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192397;1.785;0.000;0.000;4.085;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192407;1.769;0.000;0.000;4.048;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192417;1.754;0.000;0.000;4.049;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192427;1.766;0.000;0.000;4.061;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192437;1.769;0.000;0.000;4.048;31.1;31.1;54.2;31.1;12.50;0.00;0.00;5.14;
50192447;1.751;0.000;0.000;4.124;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192457;1.783;0.000;0.000;4.136;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192467;1.767;0.000;0.000;4.086;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192477;1.743;0.000;0.000;4.167;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192487;1.759;0.000;0.000;4.086;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192497;1.763;0.000;0.000;4.105;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192507;1.775;0.000;0.000;3.698;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192517;1.779;0.000;0.000;4.113;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192527;1.779;0.000;0.000;4.138;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192537;1.795;0.000;0.000;4.073;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.16;
50192547;1.759;0.000;0.000;4.115;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192557;1.779;0.000;0.000;4.125;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192567;1.775;0.000;0.000;4.054;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192577;1.759;0.000;0.000;4.128;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192587;1.787;0.000;0.000;4.088;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192597;1.775;0.000;0.000;4.065;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192607;1.779;0.000;0.000;4.125;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192617;1.775;0.000;0.000;4.098;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192627;1.763;0.000;0.000;4.126;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192637;1.763;0.000;0.000;4.065;31.1;31.1;54.8;31.1;12.51;0.07;0.00;5.14;
50192647;1.790;0.000;0.000;4.053;31.1;31.1;55.3;31.1;12.53;0.00;0.00;5.15;
50192657;1.758;0.000;0.000;4.138;31.1;31.1;55.3;31.1;12.53;0.00;0.00;5.15;
50192667;1.778;0.000;0.000;4.070;31.1;31.1;55.3;31.1;12.53;0.00;0.00;5.15;
50192677;1.762;0.000;0.000;4.157;31.1;31.1;55.3;31.1;12.53;0.00;0.00;5.15;
50192687;1.770;0.000;0.000;4.092;31.1;31.1;55.3;31.1;12.53;0.00;0.00;5.15;
50192697;1.770;0.000;0.000;4.052;31.1;31.1;55.3;31.1;12.53;0.00;0.00;5.15;
50192707;1.766;0.000;0.000;4.150;31.1;31.1;55.3;31.1;12.53;0.00;0.00;5.15;
50192717;1.790;0.000;0.000;4.087;31.1;31.1;55.3;31.1;12.53;0.00;0.00;5.15;
