20160122_155921;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
57561507;1.407;2.161;1.295;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561517;1.399;2.114;1.251;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561527;1.418;2.134;1.275;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561537;1.348;2.036;1.244;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561547;1.537;2.435;1.420;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561557;1.320;1.981;1.189;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561567;1.324;1.935;1.212;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561577;1.316;1.958;1.185;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561587;1.292;1.907;1.193;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561597;1.316;2.208;1.275;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.45;0.00;
57561607;1.407;2.290;1.344;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561617;1.474;2.376;1.395;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561627;1.399;2.142;1.286;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561637;1.521;2.376;1.407;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561647;1.336;2.009;1.239;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561657;1.336;1.989;1.227;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561667;1.482;2.333;1.399;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561677;1.340;1.989;1.211;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561687;1.324;1.950;1.211;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561697;1.292;1.903;1.153;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.44;0.00;
57561707;1.303;2.033;1.264;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
57561717;1.390;2.315;1.362;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
57561727;1.450;2.378;1.362;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
57561737;1.442;2.280;1.311;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
57561747;1.497;2.355;1.373;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
57561757;1.402;2.100;1.260;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
57561767;1.468;2.335;1.370;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
57561777;1.449;2.206;1.296;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
57561787;1.508;2.386;1.421;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
