20160122_155400;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
57239984;1.298;1.932;1.210;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.43;0.00;
57239994;1.373;2.241;1.327;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.43;0.00;
57240004;1.711;2.871;1.573;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.43;0.00;
57240014;1.412;2.222;1.324;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.43;0.00;
57240024;1.436;2.237;1.347;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.43;0.00;
57240034;1.395;2.120;1.258;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240044;1.387;2.065;1.262;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240054;1.355;1.995;1.207;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240064;1.336;1.932;1.176;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240074;1.344;1.964;1.219;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240084;1.348;1.991;1.207;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240094;1.320;1.944;1.164;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240104;1.277;1.987;1.243;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240114;1.359;2.214;1.282;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240124;1.742;2.914;1.626;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.44;0.00;
57240134;1.433;2.179;1.307;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240144;1.417;2.147;1.319;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240154;1.393;2.042;1.276;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240164;1.366;2.014;1.245;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240174;1.354;2.003;1.253;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240184;1.401;2.097;1.249;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240194;1.330;1.960;1.182;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240204;1.318;1.897;1.217;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240214;1.298;1.862;1.225;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240224;1.310;2.108;1.280;0.000;31.1;31.1;31.1;31.1;12.54;12.46;12.46;0.00;
57240234;1.547;2.502;1.419;0.000;31.1;31.1;31.1;31.1;12.51;12.38;12.38;0.00;
57240244;1.622;2.673;1.520;0.000;31.1;31.1;31.1;31.1;12.51;12.38;12.38;0.00;
57240254;1.425;2.149;1.275;0.000;31.1;31.1;31.1;31.1;12.51;12.38;12.38;0.00;
57240264;1.421;2.141;1.291;0.000;31.1;31.1;31.1;31.1;12.51;12.38;12.38;0.00;
57240274;1.374;2.036;1.256;0.000;31.1;31.1;31.1;31.1;12.51;12.38;12.38;0.00;
57240284;1.363;1.995;1.255;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
57240294;1.324;1.967;1.204;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
57240304;1.320;1.936;1.223;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
57240314;1.332;1.948;1.196;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
57240324;1.296;1.889;1.184;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
57240334;1.285;1.960;1.196;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
57240344;1.332;2.202;1.329;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
57240354;1.643;2.812;1.584;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
57240364;1.556;2.476;1.435;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
57240374;1.415;2.167;1.302;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.48;0.00;
