20160113_105855;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
39535915;1.560;2.522;1.450;0.000;31.2;31.1;31.1;31.1;12.52;12.42;12.44;0.00;
39535925;1.594;2.627;1.521;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39535935;1.657;2.681;1.518;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39535945;1.833;3.139;1.744;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39535955;1.786;3.011;1.693;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39535965;1.775;2.988;1.670;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39535975;1.563;2.417;1.424;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39535985;1.536;2.370;1.393;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39535995;1.453;2.366;1.424;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39536005;1.677;2.763;1.603;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39536015;1.547;2.545;1.467;0.000;31.2;31.1;31.1;31.1;12.45;12.38;12.42;0.00;
39536025;1.747;2.926;1.653;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536035;1.581;2.591;1.465;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536045;1.629;2.657;1.512;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536055;1.676;2.758;1.567;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536065;1.778;2.969;1.704;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536075;2.002;3.535;1.930;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536085;1.723;2.840;1.571;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536095;1.562;2.407;1.387;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536105;1.514;2.282;1.387;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536115;1.601;2.626;1.497;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.44;0.00;
39536125;1.522;2.444;1.434;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536135;1.680;2.905;1.610;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536145;1.636;2.679;1.504;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536155;1.581;2.601;1.481;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536165;1.570;2.519;1.481;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536175;1.636;2.741;1.563;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536185;1.739;2.917;1.626;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536195;2.022;3.553;1.930;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536205;1.570;2.468;1.391;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536215;1.546;2.444;1.387;0.000;31.2;31.1;31.1;31.1;12.50;12.44;12.44;0.00;
39536225;1.494;2.374;1.407;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536235;1.513;2.452;1.434;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536245;1.560;2.624;1.473;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536255;1.749;2.947;1.625;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536265;1.592;2.542;1.473;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536275;1.757;2.912;1.645;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536285;1.576;2.511;1.473;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536295;1.592;2.608;1.501;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536305;1.879;3.255;1.789;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536315;1.950;3.302;1.797;0.000;31.2;31.1;31.1;31.1;12.49;12.42;12.41;0.00;
39536325;1.767;2.896;1.628;0.000;31.2;31.1;31.1;31.1;12.48;12.40;12.43;0.00;
39536335;1.614;2.553;1.491;0.000;31.2;31.1;31.1;31.1;12.48;12.40;12.43;0.00;
39536345;1.500;2.370;1.409;0.000;31.2;31.1;31.1;31.1;12.48;12.40;12.43;0.00;
39536355;1.500;2.425;1.398;0.000;31.2;31.1;31.1;31.1;12.48;12.40;12.43;0.00;
39536365;1.661;2.915;1.613;0.000;31.2;31.1;31.1;31.1;12.48;12.40;12.43;0.00;
39536375;1.550;2.505;1.451;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536385;1.790;3.055;1.736;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536395;1.691;2.751;1.557;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536405;1.585;2.563;1.486;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536415;1.621;2.618;1.506;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536425;1.955;3.402;1.841;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536435;1.625;2.587;1.506;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536445;1.778;2.879;1.584;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536455;1.526;2.364;1.393;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536465;1.471;2.407;1.436;0.000;31.2;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
39536475;1.514;2.497;1.460;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
39536485;1.605;2.646;1.491;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
39536495;1.636;2.704;1.554;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
39536505;1.747;2.900;1.609;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
39536515;1.597;2.575;1.499;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
39536525;1.715;2.794;1.593;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
39536535;1.585;2.556;1.472;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
