20160122_154433;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
56674121;1.944;0.000;0.000;4.275;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.12;
56674131;1.937;0.000;0.000;4.311;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674141;1.952;0.000;0.000;4.291;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674151;1.952;0.000;0.000;4.313;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674161;1.921;0.000;0.000;4.238;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674171;1.937;0.000;0.000;4.340;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674181;1.956;0.000;0.000;4.316;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674191;1.941;0.000;0.000;4.227;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674201;1.944;0.000;0.000;4.327;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674211;1.960;0.000;0.000;4.269;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674221;1.968;0.000;0.000;4.308;31.1;31.1;63.0;31.1;12.51;0.00;0.00;5.16;
56674231;1.933;0.000;0.000;4.314;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674241;1.937;0.000;0.000;4.243;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674251;1.964;0.000;0.000;4.301;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674261;1.952;0.000;0.000;4.247;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674271;1.948;0.000;0.000;4.310;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674281;1.948;0.000;0.000;4.285;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674291;1.948;0.000;0.000;4.248;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674301;1.956;0.000;0.000;4.316;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674311;1.956;0.000;0.000;3.812;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674321;1.948;0.000;0.000;4.177;31.1;31.1;62.9;31.1;12.51;0.00;0.00;5.14;
56674331;1.956;0.000;0.000;4.302;31.1;31.1;53.8;31.1;12.53;0.00;0.00;5.14;
56674341;1.940;0.000;0.000;4.265;31.1;31.1;53.8;31.1;12.53;0.00;0.00;5.14;
56674351;1.944;0.000;0.000;4.293;31.1;31.1;53.8;31.1;12.53;0.00;0.00;5.14;
56674361;1.944;0.000;0.000;4.217;31.1;31.1;53.8;31.1;12.53;0.00;0.00;5.14;
56674371;1.956;0.000;0.000;4.313;31.1;31.1;53.8;31.1;12.53;0.00;0.00;5.14;
56674381;1.952;0.000;0.000;4.294;31.1;31.1;53.8;31.1;12.53;0.00;0.00;5.14;
56674391;1.948;0.000;0.000;4.222;31.1;31.1;53.8;31.1;12.53;0.00;0.00;5.14;
56674401;1.948;0.000;0.000;4.318;31.1;31.1;53.8;31.1;12.53;0.00;0.00;5.14;
