20160122_154433;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
56674133;1.435;2.224;1.297;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.44;0.00;
56674143;1.376;2.013;1.235;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.44;0.00;
56674153;1.400;2.091;1.270;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.44;0.00;
56674163;1.802;2.849;1.641;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.44;0.00;
56674173;1.353;1.970;1.215;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.44;0.00;
56674183;1.629;2.591;1.493;0.000;31.1;31.1;31.1;31.1;12.53;12.45;12.44;0.00;
56674193;1.306;1.915;1.209;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00;
56674203;1.294;1.888;1.209;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00;
56674213;1.302;1.880;1.198;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00;
56674223;1.306;2.067;1.280;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00;
56674233;1.416;2.392;1.404;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00;
56674243;1.648;2.813;1.474;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674253;1.715;3.079;1.607;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674263;1.428;2.139;1.287;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674273;1.357;1.990;1.228;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674283;1.381;2.033;1.271;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674293;1.389;2.073;1.271;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674303;1.703;2.696;1.557;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674313;1.326;1.896;1.201;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674323;1.298;1.881;1.197;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674333;1.503;2.402;1.384;0.000;31.1;31.1;31.1;31.1;12.50;12.48;12.45;0.00;
56674343;1.344;2.196;1.308;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56674353;1.462;2.361;1.359;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56674363;1.430;2.188;1.289;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56674373;1.395;2.075;1.257;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56674383;1.438;2.173;1.324;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56675363;1.391;2.110;1.289;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56675373;1.383;2.043;1.261;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56675383;1.355;1.950;1.250;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56675393;1.675;2.693;1.532;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56675403;1.304;1.930;1.191;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
56675413;1.319;1.927;1.227;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675423;1.307;2.095;1.297;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675433;1.366;2.185;1.317;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675443;1.484;2.462;1.407;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675453;1.405;2.165;1.250;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675463;1.405;2.079;1.274;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675473;1.374;2.009;1.231;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675483;1.362;2.028;1.266;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675493;1.374;2.024;1.266;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675503;1.465;2.247;1.325;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.44;0.00;
56675513;1.304;1.920;1.205;0.000;31.1;31.1;31.1;31.1;12.52;12.48;12.45;0.00;
56675523;1.300;1.888;1.177;0.000;31.1;31.1;31.1;31.1;12.52;12.48;12.45;0.00;
56675533;1.292;1.900;1.205;0.000;31.1;31.1;31.1;31.1;12.52;12.48;12.45;0.00;
56675543;1.359;2.127;1.310;0.000;31.1;31.1;31.1;31.1;12.52;12.48;12.45;0.00;
56675553;1.387;2.241;1.341;0.000;31.1;31.1;31.1;31.1;12.52;12.48;12.45;0.00;
56675563;1.454;2.229;1.306;0.000;31.1;31.1;31.1;31.1;12.52;12.48;12.45;0.00;
56675573;1.387;2.088;1.271;0.000;31.1;31.1;31.1;31.1;12.52;12.48;12.45;0.00;
56675583;1.434;2.186;1.295;0.000;31.1;31.1;31.1;31.1;12.52;12.48;12.45;0.00;
56675593;1.359;2.010;1.267;0.000;31.1;31.1;31.1;31.1;12.52;12.48;12.45;0.00;
