20160112_181150;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
65510496;0.031;5.013;1.548;1.695;31.1;31.1;31.1;31.1;0.88;12.53;12.59;12.59;
65510506;0.032;4.918;1.532;1.667;31.1;31.1;31.1;31.1;0.88;12.53;12.59;12.59;
65510516;0.032;4.906;1.524;1.659;31.1;31.1;31.1;31.1;0.88;12.53;12.59;12.59;
65510526;0.033;5.238;1.683;1.829;31.1;31.1;31.1;31.1;0.88;12.53;12.59;12.59;
65510536;0.032;4.827;1.421;1.588;31.1;31.1;31.1;31.1;0.88;12.53;12.59;12.59;
65510546;0.033;5.187;1.638;1.811;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510556;0.034;4.795;1.431;1.613;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510566;0.033;4.958;1.519;1.704;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510576;0.034;5.266;1.757;1.902;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510586;0.034;5.231;1.681;1.835;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510596;0.033;5.017;1.602;1.756;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510606;0.033;5.239;1.685;1.878;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510616;0.034;4.910;1.519;1.664;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510626;0.034;4.942;1.546;1.716;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510636;0.034;5.092;1.650;1.819;31.1;31.1;31.1;31.1;0.90;12.54;12.58;12.60;
65510646;0.034;5.142;1.663;1.792;31.1;31.1;31.1;31.1;0.90;12.50;12.56;12.58;
65510656;0.033;5.123;1.655;1.824;31.1;31.1;31.1;31.1;0.90;12.50;12.56;12.58;
65510666;0.033;5.071;1.572;1.709;31.1;31.1;31.1;31.1;0.90;12.50;12.56;12.58;
65510676;0.034;4.815;1.437;1.630;31.1;31.1;31.1;31.1;0.90;12.50;12.56;12.58;
