20160112_180507;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
65107457;1.761;0.000;0.000;3.225;31.1;31.1;53.8;31.1;12.52;0.00;0.00;5.14;
65107467;1.753;0.000;0.000;3.215;31.1;31.1;53.8;31.1;12.52;0.00;0.00;5.14;
65107477;1.784;0.000;0.000;3.219;31.1;31.1;53.8;31.1;12.52;0.00;0.00;5.14;
65107487;1.788;0.000;0.000;3.224;31.1;31.1;53.8;31.1;12.52;0.00;0.00;5.14;
65107497;1.757;0.000;0.000;3.221;31.1;31.1;53.8;31.1;12.52;0.00;0.00;5.14;
65107507;1.791;0.000;0.000;3.237;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.15;
65107517;1.787;0.000;0.000;3.223;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.15;
65107527;1.779;0.000;0.000;3.226;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.15;
65107537;1.771;0.000;0.000;3.228;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.15;
65107547;1.787;0.000;0.000;3.242;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.15;
65107557;1.771;0.000;0.000;3.206;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107567;1.795;0.000;0.000;3.217;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107577;1.767;0.000;0.000;3.214;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107587;1.759;0.000;0.000;3.209;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107597;1.783;0.000;0.000;3.220;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107607;1.779;0.000;0.000;3.203;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107617;1.791;0.000;0.000;3.211;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107627;1.747;0.000;0.000;3.205;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107637;1.771;0.000;0.000;3.212;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107647;1.743;0.000;0.000;3.209;31.1;31.1;54.5;31.1;12.51;0.00;0.00;5.13;
65107657;1.759;0.000;0.000;3.205;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107667;1.767;0.000;0.000;3.219;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107677;1.767;0.000;0.000;3.202;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107687;1.770;0.000;0.000;3.208;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107697;1.806;0.000;0.000;3.212;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107707;1.755;0.000;0.000;3.208;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107717;1.786;0.000;0.000;3.222;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107727;1.763;0.000;0.000;3.208;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107737;1.774;0.000;0.000;3.229;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107747;1.782;0.000;0.000;3.211;31.1;31.1;63.6;31.1;12.48;0.00;0.00;5.13;
65107757;1.766;0.000;0.000;3.226;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107767;1.742;0.000;0.000;3.226;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107777;1.782;0.000;0.000;3.223;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107787;1.762;0.000;0.000;3.232;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107797;1.766;0.000;0.000;3.234;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107807;1.786;0.000;0.000;3.229;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107817;1.778;0.000;0.000;3.221;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107827;1.778;0.000;0.000;3.220;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107837;1.770;0.000;0.000;3.231;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107847;1.782;0.000;0.000;3.232;31.1;31.1;54.3;31.1;12.53;0.00;0.00;5.15;
65107857;1.743;0.000;0.000;3.241;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107867;1.779;0.000;0.000;3.244;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107877;1.763;0.000;0.000;3.232;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107887;1.759;0.000;0.000;3.241;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107897;1.755;0.000;0.000;3.235;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107907;1.755;0.000;0.000;3.252;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107917;1.767;0.000;0.000;3.238;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107927;1.775;0.000;0.000;3.257;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107937;1.775;0.000;0.000;3.240;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107947;1.771;0.000;0.000;3.244;31.1;31.1;54.4;31.1;12.51;0.00;0.00;5.17;
65107957;1.769;0.000;0.000;3.227;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65107967;1.769;0.000;0.000;3.221;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65107977;1.769;0.000;0.000;3.222;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65107987;1.773;0.000;0.000;3.222;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65107997;1.766;0.000;0.000;3.222;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65108007;1.777;0.000;0.000;3.210;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65108017;1.758;0.000;0.000;3.215;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65108027;1.777;0.000;0.000;3.222;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65108037;1.773;0.000;0.000;3.219;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65108047;1.762;0.000;0.000;3.222;31.1;31.1;54.8;31.1;12.50;0.00;0.00;5.14;
65108057;1.779;0.000;0.000;3.216;31.1;31.1;64.2;31.1;12.54;0.00;0.00;5.14;
65108067;1.759;0.000;0.000;3.207;31.1;31.1;64.2;31.1;12.54;0.00;0.00;5.14;
65108077;1.763;0.000;0.000;3.218;31.1;31.1;64.2;31.1;12.54;0.00;0.00;5.14;
65108087;1.771;0.000;0.000;3.219;31.1;31.1;64.2;31.1;12.54;0.00;0.00;5.14;
65108097;1.787;0.000;0.000;3.219;31.1;31.1;64.2;31.1;12.54;0.00;0.00;5.14;
65108107;1.780;0.000;0.000;3.225;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108117;1.772;0.000;0.000;3.231;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108127;1.764;0.000;0.000;3.217;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108137;1.784;0.000;0.000;3.220;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108147;1.768;0.000;0.000;3.237;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108157;1.780;0.000;0.000;3.237;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108167;1.768;0.000;0.000;3.232;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108177;1.768;0.000;0.000;3.220;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108187;1.768;0.000;0.000;3.228;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108197;1.752;0.000;0.000;3.231;31.1;31.1;63.6;31.1;12.49;0.00;0.00;5.15;
65108207;1.744;0.000;0.000;3.228;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108217;1.783;0.000;0.000;3.218;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108227;1.760;0.000;0.000;3.226;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108237;1.764;0.000;0.000;3.229;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108247;1.752;0.000;0.000;3.226;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108257;1.756;0.000;0.000;3.231;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108267;1.779;0.000;0.000;3.226;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108277;1.771;0.000;0.000;3.226;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108287;1.752;0.000;0.000;3.234;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108297;1.764;0.000;0.000;3.231;31.1;31.1;63.1;31.1;12.46;0.00;0.00;5.15;
65108307;1.763;0.000;0.000;3.239;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108317;1.755;0.000;0.000;3.227;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108327;1.763;0.000;0.000;3.234;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108337;1.755;0.000;0.000;3.241;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108347;1.763;0.000;0.000;3.225;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108357;1.770;0.000;0.000;3.239;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108367;1.747;0.000;0.000;3.236;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108377;1.763;0.000;0.000;3.222;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108387;1.767;0.000;0.000;3.238;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108397;1.767;0.000;0.000;3.222;31.1;31.1;62.6;31.1;12.48;0.00;0.00;5.16;
65108407;1.770;0.000;0.000;3.221;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108417;1.767;0.000;0.000;3.218;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108427;1.755;0.000;0.000;3.218;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108437;1.770;0.000;0.000;3.219;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108447;1.763;0.000;0.000;3.213;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108457;1.767;0.000;0.000;3.221;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108467;1.778;0.000;0.000;3.213;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108477;1.782;0.000;0.000;3.222;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108487;1.751;0.000;0.000;3.219;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108497;1.770;0.000;0.000;3.219;31.1;31.1;62.2;31.1;12.48;0.00;0.00;5.14;
65108507;1.763;0.000;0.000;3.224;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108517;1.774;0.000;0.000;3.205;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108527;1.755;0.000;0.000;3.219;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108537;1.759;0.000;0.000;3.208;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108547;1.767;0.000;0.000;3.210;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108557;1.767;0.000;0.000;3.216;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108567;1.763;0.000;0.000;3.218;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108577;1.770;0.000;0.000;3.222;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108587;1.759;0.000;0.000;3.224;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108597;1.767;0.000;0.000;3.221;31.1;31.1;61.8;31.1;12.48;0.00;0.00;5.14;
65108607;1.773;0.000;0.000;3.228;31.1;31.1;53.5;31.1;12.55;0.00;0.00;5.16;
65108617;1.785;0.000;0.000;3.233;31.1;31.1;53.5;31.1;12.55;0.00;0.00;5.16;
65108627;1.745;0.000;0.000;3.244;31.1;31.1;53.5;31.1;12.55;0.00;0.00;5.16;
65108637;1.773;0.000;0.000;3.236;31.1;31.1;53.5;31.1;12.55;0.00;0.00;5.16;
