20160121_140442;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
50682193;1.445;2.115;1.328;0.000;31.1;31.1;31.1;31.1;12.48;12.39;12.40;0.00;
50682203;1.342;1.946;1.224;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682213;1.318;1.879;1.185;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682223;1.326;1.879;1.212;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682233;1.322;1.903;1.205;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682243;1.452;2.329;1.408;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682253;1.389;2.255;1.338;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682263;1.634;2.607;1.486;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682273;1.476;2.278;1.361;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682283;1.429;2.118;1.291;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682293;1.377;2.059;1.236;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.45;0.00;
50682303;1.410;2.144;1.287;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
50682313;1.398;2.015;1.306;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
50682323;1.304;1.906;1.224;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
50682333;1.304;1.883;1.201;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
50682343;1.300;1.887;1.275;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
50682353;1.453;2.316;1.439;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
50682363;1.516;2.511;1.431;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
50682373;1.406;2.234;1.318;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
50682383;1.681;2.733;1.517;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
50682393;1.414;2.152;1.298;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.45;0.00;
