20160121_140442;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
50682201;1.780;0.000;0.000;3.165;31.1;31.1;64.2;31.1;12.52;0.00;0.00;5.14;
50682211;1.762;0.000;0.000;3.191;31.1;31.1;63.9;31.1;12.53;0.00;0.00;5.16;
50682221;1.778;0.000;0.000;3.185;31.1;31.1;63.9;31.1;12.53;0.00;0.00;5.16;
50682231;1.778;0.000;0.000;3.188;31.1;31.1;63.9;31.1;12.53;0.00;0.00;5.16;
50682241;1.762;0.000;0.000;3.183;31.1;31.1;63.9;31.1;12.53;0.00;0.00;5.16;
50682251;1.766;0.000;0.000;3.188;31.1;31.1;63.9;31.1;12.53;0.00;0.00;5.16;
50682261;1.772;0.000;0.000;3.170;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682271;1.752;0.000;0.000;3.227;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682281;1.776;0.000;0.000;3.890;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682291;1.780;0.000;0.000;3.970;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682301;1.788;0.000;0.000;3.927;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682311;1.776;0.000;0.000;3.921;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682321;1.780;0.000;0.000;3.972;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682331;1.776;0.000;0.000;3.924;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682341;1.756;0.000;0.000;3.955;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682351;1.772;0.000;0.000;3.918;31.1;31.1;54.5;31.1;12.49;0.00;0.00;5.14;
50682361;1.772;0.000;0.000;3.901;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682371;1.772;0.000;0.000;3.972;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682381;1.784;0.000;0.000;3.927;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682391;1.768;0.000;0.000;3.986;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682401;1.748;0.000;0.000;3.932;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682411;1.768;0.000;0.000;3.925;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682421;1.784;0.000;0.000;3.983;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682431;1.752;0.000;0.000;3.932;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682441;1.772;0.000;0.000;3.969;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682451;1.764;0.000;0.000;3.950;31.1;31.1;63.8;31.1;12.49;0.00;0.00;5.16;
50682461;1.771;0.000;0.000;3.907;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
50682471;1.747;0.000;0.000;3.931;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
50682481;1.791;0.000;0.000;3.936;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
50682491;1.759;0.000;0.000;3.944;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
50682501;1.787;0.000;0.000;3.911;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
50682511;1.783;0.000;0.000;3.908;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
50682521;1.779;0.000;0.000;3.930;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
50682531;1.775;0.000;0.000;3.893;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
