20160122_151901;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
55140897;0.034;4.123;1.237;1.429;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140907;0.034;4.316;1.400;1.568;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140917;0.034;4.332;1.384;1.556;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140927;0.034;4.645;1.570;1.723;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140937;0.034;4.332;1.400;1.552;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140947;0.034;4.597;1.594;1.747;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140957;0.034;4.229;1.336;1.473;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140967;0.034;4.214;1.324;1.441;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140977;0.034;4.115;1.269;1.405;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140987;0.034;4.534;1.475;1.616;31.1;31.5;31.5;31.2;0.89;12.53;12.58;12.62;
55140997;0.034;4.331;1.355;1.494;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141007;0.034;4.097;1.244;1.390;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141017;0.034;4.046;1.232;1.386;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141027;0.034;4.276;1.359;1.541;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141037;0.034;4.204;1.319;1.502;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141047;0.034;4.438;1.426;1.565;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141057;0.034;4.276;1.363;1.510;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141067;0.034;5.120;1.799;1.947;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141077;0.034;4.601;1.513;1.692;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141087;0.034;4.414;1.403;1.565;31.1;31.5;31.5;31.2;0.89;12.56;12.57;12.63;
55141097;0.034;4.147;1.294;1.448;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141107;0.034;4.274;1.330;1.476;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141117;0.034;4.104;1.247;1.385;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141127;0.034;4.092;1.239;1.405;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141137;0.034;4.471;1.453;1.602;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141147;0.034;4.503;1.469;1.642;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141157;0.034;4.677;1.583;1.765;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141167;0.034;4.246;1.366;1.563;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141177;0.034;4.341;1.429;1.583;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141187;0.034;5.068;1.797;1.935;31.1;31.5;31.4;31.3;0.89;12.51;12.56;12.58;
55141197;0.034;4.185;1.318;1.460;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141207;0.034;4.158;1.290;1.436;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141217;0.034;4.542;1.492;1.638;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141227;0.034;4.174;1.314;1.440;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141237;0.034;4.086;1.254;1.396;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141247;0.033;4.146;1.274;1.400;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141257;0.034;4.059;1.246;1.372;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141267;0.034;4.368;1.433;1.586;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141277;0.034;4.158;1.278;1.440;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141287;0.034;4.174;1.310;1.475;31.1;31.4;31.4;31.3;0.88;12.54;12.59;12.61;
55141297;0.038;4.953;1.744;1.893;31.1;31.5;31.4;31.2;0.94;12.53;12.60;12.62;
55141307;0.038;4.518;1.489;1.635;31.1;31.5;31.4;31.2;0.94;12.53;12.60;12.62;
55141317;0.038;4.273;1.374;1.508;31.1;31.5;31.4;31.2;0.94;12.53;12.60;12.62;
55141327;0.038;4.562;1.513;1.643;31.1;31.5;31.4;31.2;0.94;12.53;12.60;12.62;
55141337;0.038;4.131;1.311;1.429;31.1;31.5;31.4;31.2;0.94;12.53;12.60;12.62;
55141347;0.034;4.268;1.316;1.468;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141357;0.034;4.553;1.491;1.639;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141367;0.034;4.117;1.272;1.421;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141377;0.034;4.077;1.228;1.389;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141387;0.034;4.422;1.423;1.580;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141397;0.034;4.077;1.236;1.417;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141407;0.034;4.557;1.499;1.699;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141417;0.034;4.525;1.518;1.699;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141427;0.034;4.502;1.463;1.584;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141437;0.034;4.720;1.586;1.743;31.1;31.5;31.4;31.3;0.89;12.56;12.61;12.65;
55141447;0.033;4.197;1.320;1.465;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141457;0.034;4.744;1.570;1.719;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141467;0.034;4.538;1.479;1.623;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141477;0.034;4.078;1.256;1.413;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141487;0.034;4.126;1.276;1.417;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141497;0.033;4.134;1.276;1.417;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141507;0.034;4.067;1.260;1.405;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141517;0.034;4.447;1.439;1.584;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141527;0.034;4.055;1.240;1.401;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141537;0.034;4.395;1.447;1.620;31.1;31.5;31.4;31.3;0.88;12.54;12.61;12.62;
55141547;0.034;4.688;1.593;1.744;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141557;0.034;4.277;1.352;1.476;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141567;0.034;4.178;1.320;1.444;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141577;0.034;4.613;1.533;1.677;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141587;0.034;4.162;1.308;1.448;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141597;0.034;4.471;1.462;1.602;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141607;0.034;4.166;1.281;1.397;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141617;0.034;4.071;1.249;1.381;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141627;0.034;4.558;1.494;1.646;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141637;0.034;4.083;1.237;1.373;31.1;31.5;31.4;31.3;0.89;12.53;12.54;12.55;
55141647;0.034;4.414;1.408;1.562;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141657;0.034;5.089;1.783;1.949;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141667;0.034;4.283;1.408;1.562;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141677;0.034;4.283;1.372;1.511;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141687;0.034;4.692;1.567;1.722;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141697;0.034;4.167;1.312;1.451;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141707;0.034;4.334;1.428;1.574;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141717;0.034;4.624;1.500;1.618;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141727;0.034;4.112;1.288;1.403;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141737;0.034;4.374;1.440;1.574;31.1;31.5;31.4;31.3;0.88;12.58;12.65;12.67;
55141747;0.034;4.056;1.236;1.376;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141757;0.034;4.048;1.248;1.404;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141767;0.034;4.530;1.526;1.654;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141777;0.034;4.514;1.467;1.614;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141787;0.034;4.182;1.316;1.519;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141797;0.034;4.783;1.658;1.797;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141807;0.034;4.562;1.538;1.674;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141817;0.034;4.874;1.701;1.832;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141827;0.034;4.455;1.459;1.594;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141837;0.034;4.155;1.316;1.448;31.1;31.5;31.4;31.3;0.89;12.52;12.61;12.61;
55141847;0.037;4.771;1.601;1.773;31.1;31.5;31.5;31.2;0.93;12.53;12.57;12.61;
55141857;0.037;4.269;1.335;1.479;31.1;31.5;31.5;31.2;0.93;12.53;12.57;12.61;
55141867;0.037;4.107;1.256;1.400;31.1;31.5;31.5;31.2;0.93;12.53;12.57;12.61;
55141877;0.037;4.392;1.406;1.583;31.1;31.5;31.5;31.2;0.93;12.53;12.57;12.61;
55141887;0.037;4.281;1.375;1.527;31.1;31.5;31.5;31.2;0.93;12.53;12.57;12.61;
55141897;0.034;5.758;2.077;2.217;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141907;0.034;4.637;1.520;1.690;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141917;0.034;4.209;1.333;1.507;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141927;0.034;4.316;1.404;1.527;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141937;0.034;4.462;1.440;1.590;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141947;0.034;4.197;1.321;1.464;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141957;0.034;4.454;1.448;1.594;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141967;0.034;4.157;1.297;1.436;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141977;0.034;4.169;1.301;1.436;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141987;0.034;4.407;1.436;1.563;31.1;31.5;31.4;31.3;0.88;12.55;12.62;12.61;
55141997;0.033;4.082;1.260;1.389;31.1;31.5;31.4;31.3;0.88;12.55;12.57;12.65;
