20160122_151901;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
55140912;1.736;0.000;0.000;4.203;31.1;31.1;65.9;31.1;12.54;0.00;0.00;5.14;
55140922;1.720;0.000;0.000;4.171;31.1;31.1;65.9;31.1;12.54;0.00;0.00;5.14;
55140932;1.716;0.000;0.000;4.196;31.1;31.1;65.9;31.1;12.54;0.00;0.00;5.14;
55140942;1.756;0.000;0.000;4.139;31.1;31.1;65.9;31.1;12.54;0.00;0.00;5.14;
55140952;1.756;0.000;0.000;4.227;31.1;31.1;65.9;31.1;12.54;0.00;0.00;5.14;
55140962;1.713;0.000;0.000;4.047;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55140972;1.725;0.000;0.000;3.911;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55140982;1.721;0.000;0.000;4.191;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55140992;1.741;0.000;0.000;4.147;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55141002;1.729;0.000;0.000;4.228;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55141012;1.733;0.000;0.000;4.200;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55141022;1.721;0.000;0.000;4.154;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55141032;1.717;0.000;0.000;3.886;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55141042;1.729;0.000;0.000;3.293;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55141052;1.737;0.000;0.000;3.277;31.1;31.1;65.0;31.1;12.52;0.00;0.00;5.15;
55141062;1.715;0.000;0.000;3.289;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141072;1.738;0.000;0.000;3.281;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141082;1.719;0.000;0.000;3.276;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141092;1.715;0.000;0.000;3.287;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141102;1.722;0.000;0.000;3.270;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141112;1.738;0.000;0.000;3.289;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141122;1.715;0.000;0.000;3.287;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141132;1.730;0.000;0.000;3.908;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141142;1.715;0.000;0.000;4.196;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141152;1.722;0.000;0.000;4.161;31.1;31.1;55.1;31.1;12.53;0.08;0.00;5.16;
55141162;1.728;0.000;0.000;4.130;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141172;1.724;0.000;0.000;4.206;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141182;1.724;0.000;0.000;4.169;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141192;1.720;0.000;0.000;4.224;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141202;1.720;0.000;0.000;4.145;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141212;1.728;0.000;0.000;4.147;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141222;1.732;0.000;0.000;4.213;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141232;1.728;0.000;0.000;4.136;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141242;1.704;0.000;0.000;4.218;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141252;1.728;0.000;0.000;4.190;31.1;31.1;64.7;31.1;12.54;0.00;0.00;5.16;
55141262;1.700;0.000;0.000;4.129;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141272;1.724;0.000;0.000;4.206;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141282;1.724;0.000;0.000;4.156;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141292;1.735;0.000;0.000;4.186;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141302;1.708;0.000;0.000;4.154;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141312;1.728;0.000;0.000;4.165;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141322;1.712;0.000;0.000;4.173;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141332;1.716;0.000;0.000;4.157;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141342;1.743;0.000;0.000;4.203;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141352;1.716;0.000;0.000;4.139;31.1;31.1;55.0;31.1;12.51;0.00;0.00;5.14;
55141362;1.729;0.000;0.000;4.159;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141372;1.710;0.000;0.000;4.202;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141382;1.729;0.000;0.000;4.132;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141392;1.717;0.000;0.000;4.151;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141402;1.706;0.000;0.000;4.194;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141412;1.753;0.000;0.000;4.154;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141422;1.702;0.000;0.000;4.160;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141432;1.713;0.000;0.000;4.199;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141442;1.729;0.000;0.000;4.174;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141452;1.753;0.000;0.000;4.186;31.1;31.1;55.3;31.1;12.55;0.00;0.00;5.14;
55141462;1.726;0.000;0.000;4.194;31.1;31.1;55.6;31.1;12.53;0.00;0.00;5.14;
55141472;1.750;0.000;0.000;4.169;31.1;31.1;55.6;31.1;12.53;0.00;0.00;5.14;
55141482;1.719;0.000;0.000;4.188;31.1;31.1;55.6;31.1;12.53;0.00;0.00;5.14;
55141492;1.711;0.000;0.000;4.157;31.1;31.1;55.6;31.1;12.53;0.00;0.00;5.14;
55141502;1.715;0.000;0.000;4.214;31.1;31.1;55.6;31.1;12.53;0.00;0.00;5.14;
55141512;1.749;0.000;0.000;4.200;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141522;1.705;0.000;0.000;4.181;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141532;1.721;0.000;0.000;4.209;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141542;1.709;0.000;0.000;4.133;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141552;1.713;0.000;0.000;4.220;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141562;1.717;0.000;0.000;4.200;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141572;1.741;0.000;0.000;4.126;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141582;1.733;0.000;0.000;4.212;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141592;1.713;0.000;0.000;4.166;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141602;1.733;0.000;0.000;4.195;31.1;31.1;55.7;31.1;12.52;0.00;0.00;5.15;
55141612;1.709;0.000;0.000;4.223;31.1;31.1;66.0;31.1;12.52;0.00;0.00;5.15;
55141622;1.725;0.000;0.000;3.756;31.1;31.1;66.0;31.1;12.52;0.00;0.00;5.15;
55141632;1.697;0.000;0.000;4.201;31.1;31.1;66.0;31.1;12.52;0.00;0.00;5.15;
55141642;1.721;0.000;0.000;4.137;31.1;31.1;66.0;31.1;12.52;0.00;0.00;5.15;
