20160122_152952;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
55792365;1.755;0.000;0.000;3.149;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792375;1.755;0.000;0.000;3.164;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792385;1.751;0.000;0.000;3.153;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792395;1.735;0.000;0.000;3.143;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792405;1.743;0.000;0.000;3.158;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792415;1.755;0.000;0.000;3.149;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792425;1.751;0.000;0.000;3.163;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792435;1.751;0.000;0.000;3.166;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792445;1.743;0.000;0.000;3.157;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792455;1.763;0.000;0.000;3.161;31.1;31.1;55.5;31.1;12.51;0.00;0.00;5.15;
55792465;1.770;0.000;0.000;3.157;31.1;31.1;55.6;31.1;12.56;0.00;0.00;5.16;
55792475;1.751;0.000;0.000;3.174;31.1;31.1;55.6;31.1;12.56;0.00;0.00;5.16;
55792485;1.758;0.000;0.000;3.160;31.1;31.1;55.6;31.1;12.56;0.00;0.00;5.16;
55792495;1.762;0.000;0.000;3.169;31.1;31.1;55.6;31.1;12.56;0.00;0.00;5.16;
55792505;1.743;0.000;0.000;3.155;31.1;31.1;55.6;31.1;12.56;0.00;0.00;5.16;
55792515;1.746;0.000;0.000;3.165;31.1;31.1;55.8;31.1;12.53;0.00;0.00;5.16;
55792525;1.750;0.000;0.000;3.168;31.1;31.1;55.8;31.1;12.53;0.00;0.00;5.16;
55792535;1.734;0.000;0.000;3.154;31.1;31.1;55.8;31.1;12.53;0.00;0.00;5.16;
