20160125_143022;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
52222444;1.731;0.000;0.000;3.160;31.1;31.1;66.1;31.1;12.48;0.00;0.00;5.15;
52222454;1.727;0.000;0.000;3.166;31.1;31.1;66.1;31.1;12.48;0.00;0.00;5.15;
52222464;1.723;0.000;0.000;3.158;31.1;31.1;66.1;31.1;12.48;0.00;0.00;5.15;
52222474;1.735;0.000;0.000;3.167;31.1;31.1;66.1;31.1;12.48;0.00;0.00;5.15;
52222484;1.731;0.000;0.000;3.157;31.1;31.1;66.1;31.1;12.48;0.00;0.00;5.15;
52222494;1.739;0.000;0.000;3.168;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222504;1.747;0.000;0.000;3.161;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222514;1.723;0.000;0.000;3.158;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222524;1.723;0.000;0.000;3.154;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222534;1.727;0.000;0.000;3.154;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222544;1.723;0.000;0.000;3.165;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222554;1.731;0.000;0.000;3.159;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222564;1.735;0.000;0.000;3.154;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222574;1.719;0.000;0.000;3.158;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222584;1.727;0.000;0.000;3.147;31.1;31.1;55.9;31.1;12.48;0.00;0.00;5.14;
52222594;1.726;0.000;0.000;3.175;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222604;1.742;0.000;0.000;3.173;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222614;1.738;0.000;0.000;3.193;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222624;1.734;0.000;0.000;3.167;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222634;1.738;0.000;0.000;3.175;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222644;1.742;0.000;0.000;3.189;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222654;1.734;0.000;0.000;3.175;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222664;1.742;0.000;0.000;3.178;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222674;1.746;0.000;0.000;3.173;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222684;1.734;0.000;0.000;3.184;31.1;31.1;56.0;31.1;12.53;0.00;0.00;5.17;
52222694;1.756;0.000;0.000;3.186;31.1;31.1;56.3;31.1;12.49;0.00;0.00;5.18;
52222704;1.729;0.000;0.000;3.180;31.1;31.1;56.3;31.1;12.49;0.00;0.00;5.18;
52222714;1.736;0.000;0.000;3.194;31.1;31.1;56.3;31.1;12.49;0.00;0.00;5.18;
52222724;1.744;0.000;0.000;3.192;31.1;31.1;56.3;31.1;12.49;0.00;0.00;5.18;
52222734;1.736;0.000;0.000;3.177;31.1;31.1;56.3;31.1;12.49;0.00;0.00;5.18;
52222744;1.741;0.000;0.000;3.182;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222754;1.725;0.000;0.000;3.176;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222764;1.733;0.000;0.000;3.179;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222774;1.733;0.000;0.000;3.173;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222784;1.729;0.000;0.000;3.187;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222794;1.717;0.000;0.000;3.181;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222804;1.753;0.000;0.000;3.192;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222814;1.757;0.000;0.000;3.176;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222824;1.733;0.000;0.000;3.176;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222834;1.745;0.000;0.000;3.179;31.1;31.1;56.2;31.1;12.52;0.00;0.00;5.17;
52222844;1.738;0.000;0.000;3.168;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222854;1.715;0.000;0.000;3.190;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222864;1.758;0.000;0.000;3.174;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222874;1.770;0.000;0.000;3.169;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222884;1.707;0.000;0.000;3.168;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222894;1.742;0.000;0.000;3.172;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222904;1.754;0.000;0.000;3.183;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222914;1.734;0.000;0.000;3.179;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222924;1.730;0.000;0.000;3.169;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222934;1.750;0.000;0.000;3.179;31.1;31.1;56.5;31.1;12.53;0.00;0.00;5.16;
52222944;1.746;0.000;0.000;3.170;31.1;31.1;56.6;31.1;12.50;0.00;0.00;5.15;
52222954;1.726;0.000;0.000;3.163;31.1;31.1;56.6;31.1;12.50;0.00;0.00;5.15;
52222964;1.738;0.000;0.000;3.167;31.1;31.1;56.6;31.1;12.50;0.00;0.00;5.15;
52222974;1.762;0.000;0.000;3.175;31.1;31.1;56.6;31.1;12.50;0.00;0.00;5.15;
52222984;1.714;0.000;0.000;3.181;31.1;31.1;56.6;31.1;12.50;0.00;0.00;5.15;
52222994;1.738;0.000;0.000;3.166;31.1;31.1;56.6;31.1;12.50;0.00;0.00;5.15;
