20160122_161858;COM;CPU1;MEM1.2;MEM1.1;T1;T2;T3;T4;V1;V2;V3;V4;
58738329;0.034;4.123;1.289;1.425;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738339;0.034;4.056;1.249;1.374;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738349;0.034;4.020;1.233;1.374;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738359;0.034;4.076;1.261;1.445;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738369;0.034;4.214;1.348;1.532;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738379;0.033;4.289;1.396;1.517;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738389;0.034;4.258;1.368;1.481;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738399;0.034;4.171;1.328;1.457;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738409;0.034;4.194;1.356;1.489;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738419;0.034;4.348;1.427;1.592;31.1;31.2;31.2;31.1;0.89;12.52;12.58;12.59;
58738429;0.038;4.131;1.275;1.413;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
58738439;0.038;4.219;1.319;1.469;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
58738449;0.038;4.064;1.255;1.393;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
58738459;0.038;4.075;1.259;1.365;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
58738469;0.038;4.067;1.259;1.401;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
58738479;0.038;4.060;1.259;1.449;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
58738489;0.038;4.179;1.319;1.508;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
58738499;0.038;4.227;1.354;1.500;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
58738509;0.038;4.330;1.426;1.556;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
58738519;0.038;4.266;1.362;1.496;31.1;31.2;31.2;31.1;0.94;12.59;12.60;12.62;
