20160122_152428;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
55468865;1.730;0.000;0.000;4.126;31.1;31.1;65.1;31.1;12.50;0.00;0.00;5.12;
55468875;1.734;0.000;0.000;4.115;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468885;1.714;0.000;0.000;4.043;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468895;1.750;0.000;0.000;4.129;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468905;1.730;0.000;0.000;4.051;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468915;1.742;0.000;0.000;4.109;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468925;1.722;0.000;0.000;4.135;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468935;1.742;0.000;0.000;4.066;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468945;1.718;0.000;0.000;4.094;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468955;1.746;0.000;0.000;4.068;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468965;1.758;0.000;0.000;4.103;31.1;31.1;64.5;31.1;12.50;0.00;0.00;5.14;
55468975;1.729;0.000;0.000;4.129;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55468985;1.741;0.000;0.000;4.090;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55468995;1.769;0.000;0.000;4.118;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55469005;1.729;0.000;0.000;4.069;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55469015;1.745;0.000;0.000;4.130;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55469025;1.741;0.000;0.000;4.107;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55469035;1.717;0.000;0.000;4.064;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55469045;1.765;0.000;0.000;4.135;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55469055;1.741;0.000;0.000;4.064;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55469065;1.741;0.000;0.000;4.112;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.15;
55469075;1.744;0.000;0.000;4.102;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469085;1.736;0.000;0.000;4.077;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469095;1.700;0.000;0.000;4.085;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469105;1.700;0.000;0.000;4.066;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469115;1.744;0.000;0.000;3.722;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469125;1.732;0.000;0.000;4.122;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469135;1.724;0.000;0.000;4.055;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469145;1.744;0.000;0.000;4.114;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469155;1.716;0.000;0.000;4.078;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469165;1.720;0.000;0.000;4.097;31.1;31.1;64.3;31.1;12.54;0.00;0.00;5.14;
55469175;1.735;0.000;0.000;4.117;31.1;31.1;64.1;31.1;12.51;0.00;0.00;5.14;
55469185;1.724;0.000;0.000;3.458;31.1;31.1;64.1;31.1;12.51;0.00;0.00;5.14;
55469195;1.704;0.000;0.000;3.264;31.1;31.1;64.1;31.1;12.51;0.00;0.00;5.14;
55469205;1.728;0.000;0.000;3.252;31.1;31.1;64.1;31.1;12.51;0.00;0.00;5.14;
55469215;1.724;0.000;0.000;3.244;31.1;31.1;64.1;31.1;12.51;0.00;0.00;5.14;
