20160122_152428;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
55468275;1.414;2.126;1.304;0.000;31.1;31.1;31.1;31.1;12.55;12.47;12.47;0.00;
55468285;1.410;2.071;1.289;0.000;31.1;31.1;31.1;31.1;12.55;12.47;12.47;0.00;
55468295;1.398;2.043;1.297;0.000;31.1;31.1;31.1;31.1;12.55;12.47;12.47;0.00;
55468305;1.359;1.969;1.234;0.000;31.1;31.1;31.1;31.1;12.55;12.47;12.47;0.00;
55468315;1.335;1.934;1.218;0.000;31.1;31.1;31.1;31.1;12.55;12.47;12.47;0.00;
55468325;1.381;2.021;1.280;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468335;1.321;1.895;1.206;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468345;1.401;2.114;1.292;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468355;1.361;2.142;1.311;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468365;1.551;2.591;1.483;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468375;3.312;6.230;3.225;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468385;3.383;6.331;3.268;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468395;2.714;5.124;2.568;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468405;1.428;2.122;1.303;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468415;1.349;1.989;1.221;0.000;31.1;31.1;31.1;31.1;12.57;12.45;12.46;0.00;
55468425;1.339;1.920;1.202;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468435;1.335;2.010;1.252;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468445;1.327;1.909;1.237;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468455;1.319;1.885;1.174;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468465;1.390;2.166;1.330;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468475;1.350;2.158;1.291;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468485;1.539;2.477;1.428;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468495;1.728;2.933;1.615;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468505;1.516;2.399;1.420;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468515;1.445;2.197;1.326;0.000;31.1;31.1;31.1;31.1;12.51;12.41;12.42;0.00;
55468525;1.393;2.134;1.287;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468535;1.373;2.005;1.244;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468545;1.377;2.002;1.225;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468555;1.302;1.916;1.213;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468565;1.385;2.037;1.244;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468575;1.322;1.947;1.221;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468585;1.314;2.044;1.256;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468595;1.452;2.314;1.424;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468605;1.479;2.403;1.377;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468615;1.562;2.419;1.428;0.000;31.1;31.1;31.1;31.1;12.50;12.43;12.42;0.00;
55468625;1.483;2.226;1.349;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468635;1.392;2.077;1.263;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468645;1.349;1.952;1.220;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468655;1.566;2.409;1.427;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468665;1.349;1.976;1.232;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468675;1.502;2.402;1.427;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468685;1.384;1.995;1.236;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468695;1.317;1.870;1.197;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468705;1.542;2.616;1.506;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468715;1.408;2.284;1.334;0.000;31.1;31.1;31.1;31.1;12.53;12.44;12.45;0.00;
55468725;1.470;2.290;1.343;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468735;2.120;3.693;2.003;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468745;1.391;2.075;1.246;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468755;1.355;2.009;1.277;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468765;1.600;2.478;1.499;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468775;1.351;1.946;1.214;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468785;1.332;1.935;1.210;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468795;1.501;2.333;1.378;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468805;1.379;2.013;1.265;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468815;1.332;2.024;1.269;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.43;0.00;
55468825;1.563;2.656;1.534;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
55468835;1.535;2.437;1.417;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
55468845;1.752;2.988;1.664;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
55468855;1.575;2.452;1.429;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
55468865;1.405;2.073;1.276;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.46;0.00;
55468875;1.655;2.650;1.517;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468885;1.340;1.961;1.247;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468895;1.355;1.993;1.239;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468905;1.529;2.341;1.400;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468915;1.304;1.887;1.211;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468925;1.702;2.807;1.607;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468935;1.300;2.063;1.231;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468945;1.371;2.247;1.341;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468955;1.651;2.697;1.517;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468965;1.647;2.654;1.513;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.48;0.00;
55468975;1.437;2.183;1.340;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55468985;1.606;2.495;1.512;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55468995;1.362;2.003;1.239;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55469005;1.520;2.300;1.426;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55469015;1.524;2.370;1.422;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55469025;1.516;2.296;1.372;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55469035;1.551;2.382;1.422;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55469045;1.461;2.265;1.375;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55469055;1.307;2.050;1.262;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55469065;1.602;2.746;1.551;0.000;31.1;31.1;31.1;31.1;12.51;12.46;12.44;0.00;
55469075;1.617;2.583;1.508;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469085;1.719;2.904;1.645;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469095;1.684;2.724;1.544;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469105;1.373;2.056;1.259;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469115;1.334;1.985;1.232;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469125;1.385;2.017;1.263;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469135;1.318;1.903;1.193;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469145;1.440;2.189;1.337;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469155;1.365;1.985;1.243;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469165;1.298;1.860;1.201;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.41;0.00;
55469175;1.521;2.486;1.440;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469185;1.415;2.239;1.330;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469195;1.482;2.321;1.350;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469205;1.769;2.963;1.691;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469215;1.379;2.043;1.256;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469225;1.340;1.957;1.220;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469235;1.517;2.329;1.417;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469245;1.363;1.996;1.224;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469255;1.324;1.899;1.224;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469265;1.493;2.294;1.373;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.49;0.00;
55469275;1.292;1.859;1.199;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469285;1.682;2.807;1.637;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469295;1.375;2.227;1.324;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469305;1.446;2.247;1.328;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469315;1.623;2.595;1.489;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469325;1.513;2.361;1.383;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469335;1.407;2.098;1.250;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469345;1.513;2.317;1.379;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469355;1.336;1.957;1.222;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469365;1.363;1.957;1.199;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.47;0.00;
55469375;1.349;2.003;1.216;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
55469385;1.310;1.905;1.232;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
55469395;1.475;2.218;1.341;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
55469405;1.322;2.108;1.306;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
55469415;1.566;2.668;1.525;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.45;0.00;
55469425;1.575;2.507;1.407;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469435;1.594;2.530;1.489;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469445;1.559;2.495;1.426;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469455;1.531;2.370;1.395;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469465;1.354;1.992;1.266;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469475;1.488;2.288;1.364;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469485;1.319;1.925;1.254;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469495;1.315;1.878;1.227;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469505;1.539;2.390;1.407;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469515;1.291;1.851;1.223;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.44;0.00;
55469525;1.363;2.149;1.291;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469535;1.549;2.474;1.381;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469545;1.505;2.353;1.369;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469555;1.537;2.411;1.428;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469565;1.592;2.540;1.467;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469575;1.363;1.989;1.233;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469585;1.426;2.161;1.365;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469595;1.391;2.052;1.237;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469605;1.324;1.927;1.209;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469615;1.446;2.165;1.307;0.000;31.1;31.1;31.1;31.1;12.52;12.45;12.42;0.00;
55469625;1.300;1.873;1.201;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469635;1.285;2.033;1.263;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469645;1.521;2.470;1.424;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469655;1.584;2.509;1.435;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469665;1.462;2.243;1.330;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469675;1.789;2.918;1.670;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469685;1.395;2.076;1.283;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469695;1.383;2.009;1.248;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469705;1.454;2.204;1.341;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469715;1.348;1.986;1.216;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.45;0.00;
55469725;1.514;2.327;1.411;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.44;0.00;
55469735;1.318;1.936;1.215;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.44;0.00;
55469745;1.542;2.351;1.426;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.44;0.00;
55469755;1.636;2.777;1.555;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.44;0.00;
55469765;1.385;2.257;1.313;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.44;0.00;
55469775;1.495;2.351;1.379;0.000;31.1;31.1;31.1;31.1;12.50;12.46;12.44;0.00;
